Wireshark multicast filter:
ip.dst > 229.7.7.0 && ip.dst < 229.7.7.255

[sim@MRT-host bridge_rp]$ ./main 
18:38:10.555019: Recording traffic on 229.7.7.0:4000, from .1-.250
18:38:25.603922: Got message from 192.168.137.129 (229.7.7.1) bytes 57
Opening file file_192.168.137.129_229.7.7.1.bin
18:38:27.608342: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:29.521511: Got message from 192.168.137.129 (229.7.7.1) bytes 104
18:38:29.521761: Got message from 192.168.137.129 (229.7.7.1) bytes 131
18:38:29.531279: Got message from 192.168.137.129 (229.7.7.100) bytes 148
18:38:29.532629: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.532726: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.532827: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.532899: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.532953: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.533015: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
Opening file file_192.168.137.129_229.7.7.2.bin
18:38:29.533199: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.533410: Got message from 192.168.137.129 (229.7.7.2) bytes 1448
18:38:29.533490: Got message from 192.168.137.129 (229.7.7.2) bytes 1009
18:38:29.603265: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:29.627043: Got message from 192.168.137.129 (229.7.7.45) bytes 63
18:38:29.627596: Got message from 192.168.137.129 (229.7.7.53) bytes 65
Opening file file_192.168.137.129_229.7.7.53.bin
18:38:29.759617: Got message from 192.168.137.129 (229.7.7.49) bytes 66
Opening file file_192.168.137.129_229.7.7.49.bin
18:38:31.603718: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:33.602935: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:34.627282: Got message from 192.168.137.129 (229.7.7.57) bytes 88
Opening file file_192.168.137.129_229.7.7.57.bin
18:38:34.637216: Got message from 192.168.137.129 (229.7.7.1) bytes 131
18:38:34.663621: Got message from 192.168.137.129 (229.7.7.205) bytes 61
18:38:34.664540: Got message from 192.168.137.129 (229.7.7.222) bytes 61
18:38:34.664660: Got message from 192.168.137.129 (229.7.7.45) bytes 63
Opening file file_192.168.137.129_229.7.7.45.bin
18:38:35.608094: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:37.607035: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:38.091593: Got message from 192.168.137.129 (229.7.7.100) bytes 104
Opening file file_192.168.137.129_229.7.7.100.bin
18:38:38.091814: Got message from 192.168.137.129 (229.7.7.100) bytes 804
18:38:38.105873: Got message from 192.168.137.129 (229.7.7.100) bytes 160
18:38:38.122942: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.138351: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.154754: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.172017: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.189475: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.205516: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.222249: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.239368: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.255754: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.273176: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.289252: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.304538: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.321738: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.338569: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.355719: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.372915: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.388353: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.405905: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.421452: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.437877: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.456476: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.471844: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.489763: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.505050: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.522735: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.539487: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.556529: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.571893: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.588918: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.606258: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.623558: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.639162: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.655275: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.672399: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.688713: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.706585: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.722439: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.739644: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.755820: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.772391: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.789313: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.805312: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.822068: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.839855: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.855835: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.871764: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.897938: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.905424: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.922002: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.937940: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.955889: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.972596: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:38.988282: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.008468: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.030418: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.038703: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.055309: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.072589: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.089366: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.105751: Got message from 192.168.137.129 (229.7.7.100) bytes 88
18:38:39.106095: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.106338: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.121518: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.138288: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.154669: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.172919: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.188383: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.205201: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.222840: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.239673: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.257353: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.272326: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.287949: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.305784: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.321864: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.337857: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.370528: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.372733: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.388964: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.405240: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.422018: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.441756: Got message from 192.168.137.129 (229.7.7.100) bytes 96
