[sim@MRT-host udp-record-playback]$ ./main 
18:03:01.190624: Recording traffic on 229.7.7.0:4000, from .1-.250
18:03:01.811064: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:01.811993: Got message from 192.168.2.128 (229.7.7.5) bytes 147
Opening file file_192.168.2.128_229.7.7.4.bin
18:03:01.813102: Got message from 192.168.2.128 (229.7.7.9) bytes 120
Opening file file_192.168.2.128_229.7.7.5.bin
Opening file file_192.168.2.128_229.7.7.9.bin
18:03:01.841229: Got message from 192.168.2.128 (229.7.7.1) bytes 58
Opening file file_192.168.2.128_229.7.7.1.bin
18:03:01.879092: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:01.879332: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:01.879437: Got message from 192.168.2.130 (229.7.7.9) bytes 120
Opening file file_192.168.2.130_229.7.7.4.bin
Opening file file_192.168.2.130_229.7.7.5.bin
Opening file file_192.168.2.130_229.7.7.9.bin
18:03:02.596870: Got message from 192.168.2.130 (229.7.7.57) bytes 88
Opening file file_192.168.2.130_229.7.7.57.bin
18:03:02.675544: Got message from 192.168.2.130 (229.7.7.1) bytes 130
Opening file file_192.168.2.130_229.7.7.1.bin
18:03:02.892522: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:02.893035: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:02.893187: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:02.993984: Got message from 192.168.2.130 (229.7.7.53) bytes 66
Opening file file_192.168.2.130_229.7.7.53.bin
18:03:03.613406: Got message from 192.168.2.130 (229.7.7.45) bytes 65
Opening file file_192.168.2.130_229.7.7.45.bin
18:03:03.805322: Got message from 192.168.2.128 (229.7.7.3) bytes 50
18:03:03.805535: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:03.805804: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:03.806070: Got message from 192.168.2.128 (229.7.7.9) bytes 120
Opening file file_192.168.2.128_229.7.7.3.bin
18:03:03.845187: Got message from 192.168.2.128 (229.7.7.1) bytes 58
